productId,lowPrice,midPrice,highPrice,market_price,directLowPrice,subTypeName,card_name,pulled_at
610373,0.01,0.22,999.0,0.2,0.1,Reverse Holofoil,Slowpoke,2026-08-17 05:05:41.093520
610373,0.01,0.15,999.0,0.1,0.01,Normal,Slowpoke,2026-08-17 05:05:41.093520
610374,0.04,0.25,999.0,0.25,0.15,Reverse Holofoil,Slowking,2026-08-17 05:05:41.093520
610374,0.01,0.17,999.0,0.15,0.01,Normal,Slowking,2026-08-17 05:05:41.093520
610375,0.01,0.21,999.0,0.2,0.1,Reverse Holofoil,Goldeen,2026-08-17 05:05:41.093520
610375,0.01,0.15,999.0,0.1,0.01,Normal,Goldeen,2026-08-17 05:05:41.093520
610376,0.04,0.25,999.0,0.25,0.24,Reverse Holofoil,Seaking,2026-08-17 05:05:41.093520
610376,0.01,0.18,999.0,0.16,0.01,Normal,Seaking,2026-08-17 05:05:41.093520
610377,0.04,0.35,999.0,0.31,0.35,Holofoil,Vaporeon,2026-08-17 05:05:41.093520
610377,0.09,0.43,999.0,0.44,0.42,Reverse Holofoil,Vaporeon,2026-08-17 05:05:41.093520
610378,2.19,3.51,999.0,3.49,,Holofoil,Vaporeon ex - 023/131,2026-08-17 05:05:41.093520
