productId,lowPrice,midPrice,highPrice,market_price,directLowPrice,subTypeName,card_name
610466,0.01,0.15,999.0,0.04,0.01,Normal,Haban Berry
610466,0.01,0.2,999.0,0.17,0.01,Reverse Holofoil,Haban Berry
610467,0.04,0.25,999.0,0.26,0.22,Reverse Holofoil,Janine's Secret Art - 112/131
610467,0.01,0.2,999.0,0.18,0.1,Normal,Janine's Secret Art - 112/131
610468,0.01,0.2,999.0,0.21,0.08,Normal,Kieran - 113/131
610468,0.05,0.24,999.0,0.24,,Reverse Holofoil,Kieran - 113/131
610469,0.01,0.2,999.0,0.18,0.01,Reverse Holofoil,Lacey - 114/131
610469,0.01,0.15,999.0,0.05,0.01,Normal,Lacey - 114/131
610470,0.01,0.22,999.0,0.19,0.19,Reverse Holofoil,Larry's Skill - 115/131
610470,0.01,0.17,999.0,0.11,0.01,Normal,Larry's Skill - 115/131
610471,0.23,0.8,999.0,0.74,0.5,Holofoil,Max Rod
610472,0.01,0.65,999.0,0.54,,Holofoil,Maximum Belt
610473,0.01,0.2,999.0,0.18,0.1,Reverse Holofoil,Ogre's Mask
610473,0.01,0.15,999.0,0.08,0.01,Normal,Ogre's Mask
610474,0.22,0.65,999.0,0.52,,Holofoil,Prime Catcher
610475,0.01,0.21,999.0,0.21,0.1,Reverse Holofoil,Professor Sada's Vitality
610475,0.01,0.15,999.0,0.06,0.01,Normal,Professor Sada's Vitality
610476,0.01,0.22,999.0,0.22,0.12,Reverse Holofoil,Professor Turo's Scenario
610476,0.01,0.15,999.0,0.14,0.01,Normal,Professor Turo's Scenario
610477,0.01,0.2,999.0,0.19,0.1,Reverse Holofoil,Professor's Research [Professor Oak]
610477,0.01,0.15,999.0,0.1,0.01,Normal,Professor's Research [Professor Oak]
610478,0.01,0.15,999.0,0.08,0.01,Normal,Professor's Research [Professor Elm]
610478,0.01,0.2,999.0,0.17,0.1,Reverse Holofoil,Professor's Research [Professor Elm]
610479,0.01,0.21,999.0,0.19,0.15,Reverse Holofoil,Professor's Research [Professor Rowan]
610479,0.01,0.15,999.0,0.12,0.01,Normal,Professor's Research [Professor Rowan]
610480,0.01,0.15,999.0,0.07,0.01,Normal,Professor's Research [Professor Sycamore]
610480,0.01,0.2,999.0,0.14,0.1,Reverse Holofoil,Professor's Research [Professor Sycamore]
610481,0.01,0.15,999.0,0.07,0.01,Normal,Rescue Board
610481,0.01,0.2,999.0,0.15,0.1,Reverse Holofoil,Rescue Board
610482,0.01,0.25,999.0,0.25,,Reverse Holofoil,Roto-Stick
610482,0.01,0.2,999.0,0.13,,Normal,Roto-Stick
610483,0.03,0.47,999.0,0.43,0.49,Holofoil,Scoop Up Cyclone
610484,0.09,0.45,999.0,0.36,0.49,Holofoil,Sparkling Crystal
610485,0.01,0.2,999.0,0.15,0.1,Reverse Holofoil,Techno Radar
610485,0.01,0.15,999.0,0.03,0.01,Normal,Techno Radar
610486,0.04,0.4,999.0,0.32,0.4,Holofoil,Treasure Tracker
610487,0.35,0.79,999.0,0.62,0.89,Holofoil,Amarys - 132/131
610488,0.45,0.83,999.0,0.62,0.79,Holofoil,Atticus - 133/131
610489,0.24,0.75,999.0,0.61,,Holofoil,Atticus - 134/131
610490,0.25,0.76,999.0,0.61,,Holofoil,Brassius
610491,0.5,1.11,9999.0,0.88,,Holofoil,Eri
610492,0.3,1.13,999.0,1.09,,Holofoil,Friends in Paldea - 137/131
610493,0.25,0.75,999.0,0.51,,Holofoil,Giacomo
610494,0.2,0.99,999.0,0.74,,Holofoil,Larry's Skill - 139/131
610495,0.25,0.99,999.0,0.73,0.99,Holofoil,Mela
